"U_X","U_Y","EpsiXX","EpsiYY","EpsiXY","SigmaXX","SigmaYY","SigmaXY","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,5.8485e-05,7.1468e-22,-5.177e-11,10.4,3.1404,-1.6666e-06,1,0,0,0,0
5.8485e-05,-1.0354e-10,5.8601e-05,-1.195e-07,-6.2651e-11,10.411,3.1242,-2.0185e-06,1,1,1,0,0
0.00011697,-2.0708e-10,5.8717e-05,-2.3901e-07,-7.3531e-11,10.422,3.1081,-2.3703e-06,1,2,2,0,0
0.00017545,-3.1062e-10,5.8833e-05,-3.5851e-07,-8.4412e-11,10.432,3.092,-2.7222e-06,1,3,3,0,0
0.00023394,-4.1416e-10,5.8949e-05,-4.7802e-07,-9.5292e-11,10.443,3.0758,-3.074e-06,1,4,4,0,0
0.00029242,-5.177e-10,5.9065e-05,-5.9752e-07,-1.0617e-10,10.454,3.0597,-3.4259e-06,1,5,5,0,0
0.00035091,-6.2124e-10,5.9181e-05,-7.1703e-07,-1.1705e-10,10.465,3.0436,-3.7777e-06,1,6,6,0,0
0.00040939,-7.2478e-10,5.9297e-05,-8.3653e-07,-1.2793e-10,10.475,3.0274,-4.1296e-06,1,7,7,0,0
0.00046788,-8.2832e-10,5.9413e-05,-9.5604e-07,-1.3881e-10,10.486,3.0113,-4.4814e-06,1,8,8,0,0
0.00052636,-9.3186e-10,5.9529e-05,-1.0755e-06,-1.497e-10,10.497,2.9952,-4.8333e-06,1,9,9,0,0
0.00058485,-1.0354e-09,5.9645e-05,-1.1951e-06,-1.6058e-10,10.507,2.979,-5.1851e-06,1,10,10,0,0
0.00064565,-8.7066e-10,5.9873e-05,-1.3182e-06,-1.7007e-10,10.535,2.9676,-5.492e-06,1,11,11,0,0
0.00070646,-7.0591e-10,6.0102e-05,-1.4414e-06,-1.7957e-10,10.563,2.9562,-5.7988e-06,1,12,12,0,0
0.00076727,-5.4117e-10,6.033e-05,-1.5646e-06,-1.8907e-10,10.592,2.9448,-6.1057e-06,1,13,13,0,0
0.00082807,-3.7642e-10,6.0558e-05,-1.6877e-06,-1.9856e-10,10.62,2.9334,-6.4126e-06,1,14,14,0,0
0.00088888,-2.1168e-10,6.0786e-05,-1.8109e-06,-2.0806e-10,10.648,2.922,-6.7195e-06,1,15,15,0,0
0.00094969,-4.6934e-11,6.1014e-05,-1.9341e-06,-2.1756e-10,10.676,2.9106,-7.0263e-06,1,16,16,0,0
0.0010105,1.1781e-10,6.1242e-05,-2.0572e-06,-2.2706e-10,10.704,2.8992,-7.3332e-06,1,17,17,0,0
0.0010713,2.8256e-10,6.147e-05,-2.1804e-06,-2.3655e-10,10.732,2.8878,-7.6401e-06,1,18,18,0,0
0.0011321,4.473e-10,6.1698e-05,-2.3036e-06,-2.4605e-10,10.76,2.8764,-7.947e-06,1,19,19,0,0
0.0011929,6.1204e-10,6.1926e-05,-2.4267e-06,-2.5555e-10,10.788,2.865,-8.2539e-06,1,20,20,0,0
0.001256,7.6987e-10,6.2143e-05,-2.5527e-06,-2.3872e-10,10.815,2.8527,-7.7105e-06,1,21,21,0,0
0.001319,9.2769e-10,6.236e-05,-2.6786e-06,-2.2189e-10,10.841,2.8405,-7.1672e-06,1,22,22,0,0
0.001382,1.0855e-09,6.2577e-05,-2.8046e-06,-2.0507e-10,10.867,2.8282,-6.6239e-06,1,23,23,0,0
0.0014451,1.2433e-09,6.2793e-05,-2.9306e-06,-1.8824e-10,10.894,2.816,-6.0806e-06,1,24,24,0,0
0.0015081,1.4012e-09,6.301e-05,-3.0565e-06,-1.7142e-10,10.92,2.8037,-5.5373e-06,1,25,25,0,0
0.0015712,1.559e-09,6.3227e-05,-3.1825e-06,-1.5459e-10,10.947,2.7915,-4.994e-06,1,26,26,0,0
0.0016342,1.7168e-09,6.3444e-05,-3.3084e-06,-1.3776e-10,10.973,2.7792,-4.4507e-06,1,27,27,0,0
0.0016973,1.8746e-09,6.3661e-05,-3.4344e-06,-1.2094e-10,10.999,2.7669,-3.9074e-06,1,28,28,0,0
0.0017603,2.0324e-09,6.3878e-05,-3.5603e-06,-1.0411e-10,11.026,2.7547,-3.3641e-06,1,29,29,0,0
0.0018234,2.1903e-09,6.4095e-05,-3.6863e-06,-8.7284e-11,11.052,2.7424,-2.8208e-06,1,30,30,0,0
0.0018885,2.1627e-09,6.4296e-05,-3.814e-06,-6.7645e-11,11.076,2.7293,-2.1868e-06,1,31,31,0,0
0.0019537,2.1351e-09,6.4497e-05,-3.9418e-06,-4.8007e-11,11.101,2.7161,-1.5528e-06,1,32,32,0,0
0.0020188,2.1075e-09,6.4698e-05,-4.0695e-06,-2.8369e-11,11.125,2.703,-9.1885e-07,1,33,33,0,0
0.0020839,2.0799e-09,6.4898e-05,-4.1972e-06,-8.7302e-12,11.149,2.6898,-2.8489e-07,1,34,34,0,0
0.0021491,2.0524e-09,6.5099e-05,-4.325e-06,1.0908e-11,11.173,2.6767,3.4907e-07,1,35,35,0,0
0.0022142,2.0248e-09,6.53e-05,-4.4527e-06,3.0547e-11,11.197,2.6635,9.8304e-07,1,36,36,0,0
0.0022794,1.9972e-09,6.5501e-05,-4.5805e-06,5.0185e-11,11.221,2.6504,1.617e-06,1,37,37,0,0
0.0023445,1.9696e-09,6.5702e-05,-4.7082e-06,6.9823e-11,11.245,2.6372,2.251e-06,1,38,38,0,0
0.0024097,1.942e-09,6.5903e-05,-4.836e-06,8.9462e-11,11.269,2.6241,2.8849e-06,1,39,39,0,0
0.0024748,1.9144e-09,6.6104e-05,-4.9637e-06,1.091e-10,11.293,2.6109,3.5189e-06,1,40,40,0,0
0.0025419,1.7088e-09,6.6286e-05,-5.0921e-06,1.275e-10,11.315,2.5969,4.1126e-06,1,41,41,0,0
0.0026089,1.5031e-09,6.6467e-05,-5.2206e-06,1.4589e-10,11.336,2.5829,4.7064e-06,1,42,42,0,0
0.002676,1.2975e-09,6.6649e-05,-5.349e-06,1.6429e-10,11.358,2.5689,5.3001e-06,1,43,43,0,0
0.0027431,1.0918e-09,6.6831e-05,-5.4774e-06,1.8268e-10,11.379,2.5549,5.8938e-06,1,44,44,0,0
0.0028101,8.862e-10,6.7012e-05,-5.6059e-06,2.0108e-10,11.4,2.5409,6.4875e-06,1,45,45,0,0
0.0028772,6.8055e-10,6.7194e-05,-5.7343e-06,2.1947e-10,11.422,2.5269,7.0813e-06,1,46,46,0,0
0.0029443,4.749e-10,6.7376e-05,-5.8627e-06,2.3787e-10,11.443,2.5129,7.675e-06,1,47,47,0,0
0.0030113,2.6925e-10,6.7558e-05,-5.9911e-06,2.5627e-10,11.465,2.4989,8.2687e-06,1,48,48,0,0
0.0030784,6.3605e-11,6.7739e-05,-6.1196e-06,2.7466e-10,11.486,2.4849,8.8624e-06,1,49,49,0,0
0.0031455,-1.4204e-10,6.7921e-05,-6.248e-06,2.9306e-10,11.507,2.4708,9.4562e-06,1,50,50,0,0
0.0032142,-5.8333e-10,6.8081e-05,-6.3758e-06,2.9519e-10,11.526,2.4561,9.5245e-06,1,51,51,0,0
0.003283,-1.0246e-09,6.8241e-05,-6.5037e-06,2.9732e-10,11.544,2.4413,9.5929e-06,1,52,52,0,0
0.0033518,-1.4659e-09,6.8401e-05,-6.6316e-06,2.9946e-10,11.562,2.4265,9.6613e-06,1,53,53,0,0
0.0034206,-1.9072e-09,6.8561e-05,-6.7594e-06,3.0159e-10,11.581,2.4118,9.7296e-06,1,54,54,0,0
0.0034893,-2.3485e-09,6.872e-05,-6.8873e-06,3.0372e-10,11.599,2.397,9.798e-06,1,55,55,0,0
0.0035581,-2.7897e-09,6.888e-05,-7.0151e-06,3.0586e-10,11.617,2.3822,9.8663e-06,1,56,56,0,0
0.0036269,-3.231e-09,6.904e-05,-7.143e-06,3.0799e-10,11.636,2.3674,9.9347e-06,1,57,57,0,0
0.0036957,-3.6723e-09,6.92e-05,-7.2709e-06,3.1012e-10,11.654,2.3527,1.0003e-05,1,58,58,0,0
0.0037644,-4.1136e-09,6.936e-05,-7.3987e-06,3.1225e-10,11.672,2.3379,1.0071e-05,1,59,59,0,0
0.0038332,-4.5549e-09,6.952e-05,-7.5266e-06,3.1439e-10,11.691,2.3231,1.014e-05,1,60,60,0,0
