data {
 x, y
0, 10.4
1, 10.411
2, 10.422
3, 10.432
4, 10.443
5, 10.454
6, 10.465
7, 10.475
8, 10.486
9, 10.497
10, 10.507
11, 10.535
12, 10.563
13, 10.592
14, 10.62
15, 10.648
16, 10.676
17, 10.704
18, 10.732
19, 10.76
20, 10.788
21, 10.815
22, 10.841
23, 10.867
24, 10.894
25, 10.92
26, 10.947
27, 10.973
28, 10.999
29, 11.026
30, 11.052
31, 11.076
32, 11.101
33, 11.125
34, 11.149
35, 11.173
36, 11.197
37, 11.221
38, 11.245
39, 11.269
40, 11.293
41, 11.315
42, 11.336
43, 11.358
44, 11.379
45, 11.4
46, 11.422
47, 11.443
48, 11.465
49, 11.486
50, 11.507
51, 11.526
52, 11.544
53, 11.562
54, 11.581
55, 11.599
56, 11.617
57, 11.636
58, 11.654
59, 11.672
60, 11.691
61, 11.706
62, 11.721
63, 11.736
64, 11.752
65, 11.767
66, 11.782
67, 11.797
68, 11.812
69, 11.828
70, 11.843
71, 11.855
72, 11.867
73, 11.879
74, 11.891
75, 11.904
76, 11.916
77, 11.928
78, 11.94
79, 11.952
80, 11.964
81, 11.974
82, 11.983
83, 11.993
84, 12.002
85, 12.012
86, 12.021
87, 12.031
88, 12.04
89, 12.049
90, 12.059
91, 12.066
92, 12.074
93, 12.081
94, 12.089
95, 12.096
96, 12.104
97, 12.111
98, 12.119
99, 12.126
100, 12.133
101, 12.14
102, 12.146
103, 12.152
104, 12.159
105, 12.165
106, 12.171
107, 12.178
108, 12.184
109, 12.19
110, 12.197
111, 12.202
112, 12.208
113, 12.214
114, 12.219
115, 12.225
116, 12.231
117, 12.236
118, 12.242
119, 12.247
120, 12.253
121, 12.258
122, 12.263
123, 12.268
124, 12.273
125, 12.278
126, 12.283
127, 12.288
128, 12.293
129, 12.298
130, 12.303
131, 12.307
132, 12.311
133, 12.315
134, 12.32
135, 12.324
136, 12.328
137, 12.333
138, 12.337
139, 12.341
140, 12.345
141, 12.349
142, 12.353
143, 12.356
144, 12.36
145, 12.364
146, 12.368
147, 12.371
148, 12.375
149, 12.379
150, 12.382
151, 12.385
152, 12.389
153, 12.392
154, 12.395
155, 12.398
156, 12.401
157, 12.404
158, 12.408
159, 12.411
160, 12.414
161, 12.416
162, 12.419
163, 12.422
164, 12.424
165, 12.427
166, 12.43
167, 12.432
168, 12.435
169, 12.438
170, 12.44
171, 12.442
172, 12.445
173, 12.447
174, 12.449
175, 12.451
176, 12.453
177, 12.455
178, 12.458
179, 12.46
180, 12.462
181, 12.464
182, 12.466
183, 12.467
184, 12.469
185, 12.471
186, 12.473
187, 12.474
188, 12.476
189, 12.478
190, 12.48
191, 12.481
192, 12.482
193, 12.484
194, 12.485
195, 12.486
196, 12.488
197, 12.489
198, 12.49
199, 12.492
200, 12.493
201, 12.494
202, 12.495
203, 12.496
204, 12.497
205, 12.498
206, 12.499
207, 12.5
208, 12.501
209, 12.502
210, 12.503
211, 12.504
212, 12.505
213, 12.505
214, 12.506
215, 12.507
216, 12.508
217, 12.508
218, 12.509
219, 12.51
220, 12.51
221, 12.511
222, 12.511
223, 12.512
224, 12.512
225, 12.512
226, 12.513
227, 12.513
228, 12.514
229, 12.514
230, 12.514
231, 12.515
232, 12.515
233, 12.515
234, 12.515
235, 12.515
236, 12.515
237, 12.516
238, 12.516
239, 12.516
240, 12.516
241, 12.516
242, 12.516
243, 12.516
244, 12.516
245, 12.516
246, 12.516
247, 12.516
248, 12.516
249, 12.515
